,loss,dice_coef,recall_2,precision_2,jacard,accuracy,val_loss,val_dice_coef,val_recall_2,val_precision_2,val_jacard,val_accuracy,lr
0,0.975252091884613,0.02474573254585266,0.6464311480522156,0.03353560343384743,0.01257855724543333,0.6001437902450562,0.9738765954971313,0.026116017252206802,0.5431877970695496,0.04497028514742851,0.013289115391671658,0.7459603548049927,9.999999747378752e-06
1,0.9716858267784119,0.02831367589533329,0.7093877792358398,0.04544377326965332,0.014425300061702728,0.6760988831520081,0.9724816083908081,0.027510887011885643,0.586645245552063,0.05127551779150963,0.014009429141879082,0.7597662210464478,9.999999747378752e-06
2,0.9694902300834656,0.030508248135447502,0.7327540516853333,0.055632758885622025,0.01556763332337141,0.7262561917304993,0.9722438454627991,0.027747638523578644,0.5768167972564697,0.05480699613690376,0.014132583513855934,0.7781408429145813,9.999999747378752e-06
3,0.9670711755752563,0.03292478621006012,0.7569876909255981,0.07002794742584229,0.016828248277306557,0.7748516201972961,0.9724491238594055,0.027541786432266235,0.49942904710769653,0.06363652646541595,0.014028433710336685,0.8308102488517761,9.999999747378752e-06
4,0.9645463228225708,0.03545013442635536,0.7825687527656555,0.08906438201665878,0.01814739778637886,0.8165898323059082,0.9728454351425171,0.02714407444000244,0.4443760812282562,0.06891810148954391,0.013823875226080418,0.8580715656280518,9.999999747378752e-06
5,0.9623238444328308,0.03767472505569458,0.8036229014396667,0.10831325501203537,0.01931179128587246,0.8448665142059326,0.9730784296989441,0.02691083587706089,0.38946032524108887,0.07744214683771133,0.013704988174140453,0.8857119083404541,9.999999747378752e-06
6,0.9604905843734741,0.03950847312808037,0.8182331323623657,0.12317059934139252,0.02027386613190174,0.8609766364097595,0.9728156924247742,0.027172841131687164,0.385849267244339,0.08070248365402222,0.013842265121638775,0.8906627893447876,9.999999747378752e-06
7,0.958840548992157,0.041155993938446045,0.8364413976669312,0.13728700578212738,0.021139299497008324,0.8725584745407104,0.97286456823349,0.027123164385557175,0.40086203813552856,0.07495201379060745,0.013815526850521564,0.8794741630554199,2.9999998787388904e-06
8,0.9576286673545837,0.042367130517959595,0.8480205535888672,0.1543179154396057,0.02177872322499752,0.8849635720252991,0.973996639251709,0.02599286288022995,0.30918946862220764,0.088680200278759,0.013231422752141953,0.9153434634208679,2.9999998787388904e-06
9,0.9566590785980225,0.0433371476829052,0.8553161025047302,0.17016127705574036,0.02229112759232521,0.8946618437767029,0.9746391773223877,0.02535088174045086,0.26801538467407227,0.09474384784698486,0.012899371795356274,0.9278380274772644,2.9999998787388904e-06
